item_id,priority,title,acceptance,status,evidence,missing_evidence,notes
B-010,P0,Разметка точек действия,Экспертные точки действия доступны и проверяются.,pass,"[""seedling_data/annotations.py"", ""docs/ANNOTATION_GUIDE.md"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-011,P0,Согласованность ячеек и действий,Точки действия сверяются с разметкой ячеек.,pass,"[""seedling_data/annotations.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-012,P1,Флаги безопасности разметки,Небезопасные и неопределённые цели требуют проверки человеком.,pass,"[""seedling_data/annotations.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-013,P1,Сводка набора данных,"Markdown/HTML-сводка показывает разбиение, классы, ячейки и действия.",pass,"[""seedling_data/registry.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-014,P1,Журнал изменений набора данных,Версии набора данных имеют неизменяемые записи журнала.,pass,"[""seedling_data/changelog.py"", ""docs/DATASET_CHANGELOG_TEMPLATE.md"", ""tests/unit/test_data_registry_annotations.py""]",[],
C-001,P0,Интерфейс DetectorAdapter,"Детекторы предоставляют загрузку, предсказание и метаданные.",pass,"[""seedling_vision/adapters/base.py""]",[],
C-002,P0,Адаптер Ultralytics YOLO,Предсказание возвращает DetectionResultV1.,pass,"[""seedling_vision/adapters/ultralytics_yolo.py"", ""tests/unit/test_vision_tools.py""]",[],
C-003,P0,HSV-детектор базового метода,Базовый HSV-метод возвращает схему выхода детектора.,pass,"[""seedling_vision/adapters/baseline_green.py"", ""tests/unit/test_registry_selector_feedback.py""]",[],
C-004,P0,Адаптер записанных предсказаний,Существующие predictions.json можно воспроизводить.,pass,"[""seedling_vision/adapters/recorded_prediction.py"", ""tests/unit/test_ontology_and_adapters.py""]",[],
C-005,P1,ONNX-адаптер,ONNX-модели подключаются без среды выполнения Ultralytics.,pass,"[""seedling_vision/adapters/onnx.py"", ""tests/unit/test_vision_tools.py""]",[],
C-006,P1,Оценщик неопределённости,"Уверенность, bbox и энтропийные флаги доступны в выходе.",pass,"[""seedling_vision/uncertainty.py"", ""tests/unit/test_vision_tools.py""]",[],
C-007,P1,Постобработка контейнеров,Оценщик может использовать явные выходы контейнеров.,pass,"[""seedling_vision/postprocess.py"", ""tests/unit/test_vision_tools.py""]",[],
C-008,P1,Метаданные модели,"Реестр хранит модель, датасет, онтологию и версию схемы.",pass,"[""seedling_core/registry.py"", ""configs/registry/model_registry_v0_1.yaml"", ""tests/unit/test_registry_selector_feedback.py""]",[],
C-009,P2,Пакетный вывод,Поддерживаются обработка набора изображений и журналы прогресса.,pass,"[""seedling_vision/batch.py"", ""seedling_vision/cli.py"", ""tests/unit/test_vision_tools.py""]",[],
C-010,P2,Визуальный отчёт с наложением,"Отрисовываются bbox, сетка, цели и ошибки.",pass,"[""seedling_vision/overlays.py"", ""tests/unit/test_vision_tools.py""]",[],
D-001,P0,Построитель сетки,bbox/углы кассеты делятся на строки и столбцы.,pass,"[""seedling_cells/grid.py"", ""tests/unit/test_grid.py""]",[],
D-002,P0,Схема CellState,"Состояния ячеек хранят классы, объекты, флаги проверки и риск.",pass,"[""seedling_cells/cell_state.py"", ""tests/unit/test_grid.py""]",[],
D-003,P0,Построитель CellState,Детекции и геометрия кассеты формируют строки CellState.,pass,"[""seedling_cells/cell_state.py"", ""tests/unit/test_target_generation.py""]",[],
D-004,P0,Генерация целей,"Крупнейший bbox является стратегией, а не жёстко прошитым правилом.",pass,"[""seedling_cells/target_generation.py"", ""tests/unit/test_target_generation.py""]",[],
D-005,P0,Метрики ячеек,"Считаются доля верных ячеек, macro-F1 и метрики целей.",pass,"[""seedling_experiments/evaluate.py"", ""tests/unit/test_evaluate_cells_metrics.py""]",[],
D-006,P1,Диагностика сопоставления контейнеров,Сообщаются случаи отсутствующих и низко-IoU контейнеров.,pass,"[""seedling_experiments/evaluate.py"", ""seedling_vision/postprocess.py"", ""tests/unit/test_evaluate_cells_metrics.py""]",[],
D-007,P1,Метрики с ценой ошибок,Критические биологические и решающие ошибки имеют отдельную стоимость.,pass,"[""seedling_experiments/evaluate.py"", ""tests/unit/test_evaluate_cells_metrics.py""]",[],
D-008,P1,Оценщик SceneState,Богатые состояния ячеек и цели оцениваются совместно.,pass,"[""seedling_cells/evaluation.py"", ""tests/unit/test_scene_state_evaluation.py""]",[],
D-009,P1,Метрики краёв и углов,Краевые и угловые ячейки суммируются отдельно.,pass,"[""seedling_cells/evaluation.py"", ""tests/unit/test_scene_state_evaluation.py""]",[],
D-010,P1,Таксономия ошибок,"Ошибки группируются по изображению, геометрии, биологии и решению.",pass,"[""seedling_cells/evaluation.py"", ""seedling_reports/diagnostics.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
D-011,P2,Бутстрэп-доверительные интервалы,Для основных метрик формируются бутстрэп-интервалы.,pass,"[""seedling_reports/diagnostics.py"", ""tests/unit/test_evaluate_cells_metrics.py""]",[],
D-012,P2,Отчёт по таксономии ошибок,Диагностика пишет артефакты таксономии.,pass,"[""seedling_reports/diagnostics.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
E-001,P0,Схемы калибровки,"JSON содержит гомографию, преобразования, px/mm и сводку ошибок.",pass,"[""seedling_calibration/schemas.py""]",[],
E-002,P0,Преобразование пикселей в миллиметры кассеты,Известные точки отображаются корректно.,pass,"[""seedling_calibration/transforms.py"", ""tests/unit/test_calibration.py""]",[],
E-003,P0,Преобразование кассеты в систему робота,Поддерживается смещение инструмента.,pass,"[""seedling_calibration/transforms.py"", ""tests/unit/test_calibration.py""]",[],
E-004,P0,Валидатор калибровки,"Проверяются срок действия, RMS/P95 и тип кассеты.",pass,"[""seedling_calibration/validator.py"", ""tests/unit/test_calibration.py""]",[],
E-005,P1,Карта ошибок,Формируется тепловая карта ошибок.,pass,"[""seedling_calibration/estimation.py"", ""docs/CALIBRATION_PROTOCOL.md"", ""tests/unit/test_calibration.py""]",[],
E-006,P1,Координаты в целях действия,"ActionTarget получает пиксельные, миллиметровые и роботные координаты.",pass,"[""seedling_calibration/transforms.py"", ""tests/unit/test_calibration.py""]",[],
E-007,P1,CLI калибровки,"Команды estimate, validate, error-map создают артефакты.",pass,"[""seedling_calibration/cli.py"", ""tests/unit/test_calibration.py""]",[],
E-008,P2,Калибровка внутренних параметров камеры,"Поддерживаются шахматная доска, ArUco и фидуциальные метки.",pass,"[""seedling_calibration/intrinsics.py"", ""tests/unit/test_calibration.py""]",[],
F-001,P0,Интерфейс DecisionPolicy,Политики совместимы с преобразованием SceneState в ActionPlan.,pass,"[""seedling_decision/policies/base.py""]",[],
F-002,P0,NoOpPolicy,Цели отправляются на проверку.,pass,"[""seedling_decision/policies/builtin.py""]",[],
F-003,P0,RasterScanPolicy,Безопасные цели упорядочиваются по строкам и столбцам.,pass,"[""seedling_decision/policies/builtin.py""]",[],
F-004,P0,NearestNeighborPolicy,Цели упорядочиваются по расстоянию робота.,pass,"[""seedling_decision/policies/builtin.py""]",[],
F-005,P0,RiskAwareRulePolicy,Правила риска отфильтровывают небезопасные цели.,pass,"[""seedling_decision/policies/builtin.py""]",[],
F-006,P0,ActionMaskBuilder,"Небезопасные, недопустимые и обработанные действия маскируются.",pass,"[""seedling_decision/action_masks.py"", ""tests/unit/test_decision_and_safety.py""]",[],
F-007,P0,SafetyGate,Выполнение действия требует решения безопасности.,pass,"[""seedling_decision/safety_gate.py"", ""seedling_robot/adapters/dry_run_serial.py"", ""tests/unit/test_decision_and_safety.py"", ""tests/unit/test_dry_run_and_feedback.py""]",[],
F-008,P0,Запретные зоны,Правила риска учитывают зоны сохранения и границы кассеты.,pass,"[""seedling_decision/action_masks.py"", ""seedling_decision/policies/builtin.py"", ""seedling_decision/safety_gate.py"", ""tests/unit/test_decision_and_safety.py""]",[],
F-009,P1,HumanReviewPolicy,Runtime получает цели проверки с причинами.,pass,"[""seedling_decision/policies/builtin.py""]",[],
F-010,P1,Метрики сравнения политик,Политики сравниваются на одной сцене.,pass,"[""seedling_reports/scenario.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
F-011,P2,RoutePlanningPolicy,Маршрутный базовый метод жадно минимизирует движение.,pass,"[""seedling_decision/policies/builtin.py""]",[],
G-001,P0,Схема SimScene,Сцены сериализуются в JSON и валидируются.,pass,"[""seedling_sim/schemas.py"", ""tests/unit/test_simulation.py""]",[],
G-002,P0,Логический симулятор кассеты,"Сцена, растения, цели и состояние робота дают пошаговые исходы.",pass,"[""seedling_sim/logical_tray.py"", ""tests/unit/test_simulation.py""]",[],
G-003,P0,Модель шума детекции,"Настраиваются пропуски, ложные объекты и шум классов.",pass,"[""seedling_sim/detection_noise.py"", ""tests/unit/test_simulation.py""]",[],
G-004,P0,Модель ошибки привода,"Есть механическая ошибка, задержка, дрейф и ошибка зоны.",pass,"[""seedling_sim/actuator_model.py"", ""tests/unit/test_simulation.py""]",[],
G-005,P0,Заглушка модели реакции растения,Успех и повреждение моделируются вероятностно без реальных параметров лазера.,pass,"[""seedling_sim/plant_response_model.py"", ""tests/unit/test_simulation.py""]",[],
G-006,P0,Генератор сцен,"Генерируются пустые, одиночные, множественные, сорные и неизвестные сцены.",pass,"[""seedling_sim/scene_generator.py"", ""tests/unit/test_simulation.py""]",[],
G-007,P1,Сцены на основе реальных данных,Сцены строятся из доказательств SceneState.,pass,"[""seedling_sim/image_backed.py"", ""tests/unit/test_simulation.py""]",[],
G-008,P1,Журнал воспроизведения,"Каждый шаг хранит наблюдение, действие, награду и сведения.",pass,"[""seedling_sim/replay.py"", ""tests/unit/test_robot_and_replay.py""]",[],
G-009,P1,Статический рендерер,"SVG/HTML/PNG показывают сетку, растения, цели и путь.",pass,"[""seedling_sim/renderers.py"", ""tests/unit/test_simulation.py"", ""tests/unit/test_rl_env.py""]",[],
G-010,P1,Просмотрщик воспроизведения политики,Действия можно пошагово просматривать визуально.,pass,"[""seedling_ui/replay_viewer.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
G-011,P2,Рендерер синтетических изображений,Генерируются простые 2D-изображения.,pass,"[""seedling_sim/renderers.py"", ""tests/unit/test_simulation.py""]",[],
G-012,P2,Наборы доменной рандомизации,"Есть пресеты освещения, фокуса, шума и дрейфа калибровки.",pass,"[""seedling_sim/domain_randomization.py"", ""tests/unit/test_simulation.py""]",[],
H-001,P0,Среда SeedlingTrayEnv,Среда Gymnasium оборачивает симулятор кассеты.,pass,"[""seedling_rl/envs.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-002,P0,Наблюдения RL,"Наблюдения кодируют состояние ячеек, цели, робота и маски действий.",pass,"[""seedling_rl/envs.py"", ""tests/unit/test_rl_env.py""]",[],
H-003,P0,Действия RL,"Действия выбирают цель, пропуск или завершение эпизода.",pass,"[""seedling_rl/reward.py"", ""tests/unit/test_rl_env.py""]",[],
H-004,P0,Базовые политики RL,"Базовые политики оцениваются тем же протоколом, что и обученные политики.",pass,"[""seedling_rl/baseline_eval.py"", ""tests/unit/test_rl_env.py""]",[],
H-005,P0,Награда RL,"Награда учитывает удаление, повреждения, риск, движение и блокировки.",pass,"[""seedling_rl/training.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-006,P1,Обучение MaskablePPO,Обучение с масками действий создаёт артефакты и метрики.,pass,"[""seedling_rl/training.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-007,P1,Рекуррентное обучение,Рекуррентная политика поддерживает историю наблюдений.,pass,"[""seedling_rl/policy_adapter.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-008,P1,Адаптер политики,Обученная RL-политика может использоваться как DecisionPolicy.,pass,"[""seedling_rl/callbacks.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-009,P1,Сравнение политик RL,RL и базовые политики сравниваются на одинаковых сценах.,pass,"[""seedling_rl/vectorized_env.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-010,P1,План экспериментов RL,"План задаёт сцены, seed, метрики и артефакты.",pass,"[""seedling_rl/curriculum.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-011,P2,Стабильность по seed,Запуски по нескольким seed агрегируются в сводку устойчивости.,pass,"[""seedling_rl/policy_adapter.py"", ""configs/rl/recurrent_ppo_v0.yaml"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-012,P2,Офлайн-оценка воспроизведений,Журналы воспроизведения оцениваются без шага среды.,pass,"[""seedling_rl/offline_replay.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-013,P2,План sweep,Сетки гиперпараметров раскрываются в воспроизводимый план.,pass,"[""seedling_rl/sweep.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
I-001,P0,Протокол команд робота,"Команды робота имеют тип, координаты, токен безопасности и статус.",pass,"[""seedling_robot/adapters/base.py"", ""docs/ROBOT_PROTOCOL.md""]",[],
I-002,P0,Адаптер симулятора робота,Команды робота исполняются в логическом симуляторе.,pass,"[""seedling_robot/adapters/simulator.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-003,P0,Исполнитель команд,Исполнитель проверяет SafetyGate до движения.,pass,"[""seedling_robot/protocol.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-004,P0,Адаптер сухого прогона,Команды выполняются в безопасном режиме без опасного воздействия.,pass,"[""seedling_robot/adapters/dry_run_serial.py"", ""tests/unit/test_dry_run_and_feedback.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-005,P0,Телеметрия робота,"SafetyGate видит готовность, базирование и концевики.",pass,"[""seedling_robot/protocol.py"", ""seedling_decision/safety_gate.py"", ""seedling_robot/adapters/dry_run_serial.py"", ""tests/unit/test_decision_and_safety.py"", ""tests/unit/test_dry_run_and_feedback.py""]",[],
I-006,P1,Проверка межблокировки,Выполнение требует подтверждения межблокировки.,pass,"[""docs/ROBOT_PROTOCOL.md""]",[],
I-007,P1,Воспроизведение движения,Команды движения можно повторно проиграть для диагностики.,pass,"[""seedling_robot/motion_replay.py"", ""tests/unit/test_dry_run_and_feedback.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-008,P1,Сухой прогон плана,План действий исполняется сухим прогоном с отчётом.,pass,"[""seedling_robot/dry_run_runner.py"", ""seedling_robot/cli.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-009,P0,HIL-прогон с указателем,Реальная проверка оборудования остаётся внешним этапом.,external_required,"[""seedling_robot/hil_runner.py"", ""seedling_robot/adapters/real_gantry_serial.py"", ""docs/ROBOT_PROTOCOL.md""]",[],Software scaffold exists if evidence is present; real hardware validation remains external.
J-001,P0,Офлайн-просмотрщик,"Загружаются изображение, предсказания, состояние ячеек и цели.",pass,"[""seedling_ui/offline_viewer.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
J-002,P0,Просмотрщик воспроизведения симуляции,"Есть запуск, пауза, шаг, сброс и шкала действий.",pass,"[""seedling_ui/replay_viewer.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
J-003,P0,Причины проверки и блокировки,"Оператор видит, почему цель заблокирована.",pass,"[""seedling_ui/offline_viewer.py"", ""seedling_decision/policies/builtin.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
J-004,P1,Выбор модели и политики,Детектор и политика выбираются из реестра.,pass,"[""seedling_ui/cli.py"", ""seedling_core/registry.py"", ""tests/unit/test_registry_selector_feedback.py""]",[],
J-005,P1,Сравнение сценариев,На одной сцене сравниваются политика на правилах и RL.,pass,"[""seedling_reports/scenario.py""]",[],
J-006,P1,Экспорт отчёта,HTML/Markdown-отчёт строится для кассеты или эпизода.,pass,"[""seedling_ui/report_export.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
J-007,P2,Режим обратной связи по разметке,Оператор может отметить ошибку модели для переразметки.,pass,"[""seedling_ui/feedback.py"", ""seedling_ui/offline_viewer.py"", ""tests/unit/test_registry_selector_feedback.py""]",[],
K-001,P0,Единый CLI экспериментов,"prepare, train, val, predict, evaluate, sim, rl имеют единый стиль.",pass,"[""seedling_experiments/cli.py"", ""tests/unit/test_cli_smoke.py""]",[],
K-002,P0,Реестр экспериментов,Каждая команда регистрирует входы и выходы.,pass,"[""seedling_experiments/cli.py"", ""seedling_experiments/config.py"", ""seedling_reports/registry.py"", ""tests/unit/test_cli_smoke.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-003,P0,dataset_summary.csv,Таблица строится из артефактов.,pass,"[""seedling_reports/tables.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-004,P0,object_level_results.csv,Источник данных — test_metrics.json.,pass,"[""seedling_reports/tables.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-005,P0,task_level_results.csv,Источник данных — cell_metrics.json.,pass,"[""seedling_reports/tables.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-006,P1,artifact_registry.csv,Таблица артефактов поддерживает статью и воспроизводимость.,pass,"[""seedling_reports/registry.py"", ""seedling_reports/tables.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-007,P1,HTML-генератор отчётов,Единый отчёт эксперимента включает изображения и таблицы.,pass,"[""seedling_reports/html.py"", ""seedling_reports/cli.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-008,P2,Сравнение запусков,"Сравниваются модели, пороги, seed и ограничения качества.",pass,"[""seedling_reports/compare.py""]",[],
L-001,P0,Модульные тесты схем,Тесты схем покрывают геометрию объектов и round-trip сериализацию.,pass,"[""tests/unit/test_schemas.py""]",[],
L-002,P0,Модульные тесты сетки,"Тесты сетки покрывают границы, присвоение и многоугольники.",pass,"[""tests/unit/test_grid.py""]",[],
L-003,P0,Тесты генерации целей,"Тесты целей покрывают crop, weed и случаи проверки.",pass,"[""tests/unit/test_target_generation.py""]",[],
L-004,P0,Тесты безопасности и политик,Тесты покрывают маски действий и телеметрию робота.,pass,"[""tests/unit/test_decision_and_safety.py""]",[],
L-005,P0,Тесты калибровки,"Тесты покрывают преобразования, оценку и валидацию.",pass,"[""tests/unit/test_calibration.py""]",[],
L-006,P0,Интеграционный тест политики,Политика на правилах завершает сцену через SafetyGate.,pass,"[""tests/integration/test_scene_policy_sim.py""]",[],
L-007,P0,Интеграционный тест симулятора,Роботный адаптер исполняет команды симулятора.,pass,"[""tests/integration/test_scene_policy_sim.py""]",[],
L-008,P1,Тесты RL и сравнения,"Покрыты dry-run обучения RL, адаптер политики и устойчивость seed.",pass,"[""tests/unit/test_rl_training_and_compare.py""]",[],
L-009,P1,Тесты метрик ячеек,Метрики покрывают калиброванные ошибки целей и входы сцен.,pass,"[""tests/unit/test_evaluate_cells_metrics.py""]",[],
L-010,P1,Smoke-тесты CLI,"Покрыты справка CLI, зависимости и команды сухого прогона.",pass,"[""tests/unit/test_cli_smoke.py""]",[],
L-011,P2,Тесты производительности,Пакетный вывод и обучение симуляции не деградируют.,pass,"[""tests/performance/test_performance_smoke.py""]",[],
M-001,P0,Документация README,"README связывает документы, быстрый старт и отчёты.",pass,"[""docs/README.md""]",[],
M-002,P0,Архитектурная документация,"Архитектура покрывает каркас, поток данных, безопасность и реестры.",pass,"[""docs/ARCHITECTURE.md""]",[],
M-003,P0,Спецификация RL,"RL-спецификация покрывает среду, награды, алгоритмы и sweep.",pass,"[""docs/RL_SPEC.md""]",[],
M-004,P0,Спецификация симуляции,"Спецификация покрывает симулятор, шумы и run-policy.",pass,"[""docs/SIMULATION_SPEC.md""]",[],
M-005,P0,Документация API плагинов,"Документ покрывает контракты детекторов, политик и безопасности.",pass,"[""docs/MODEL_PLUGIN_API.md""]",[],
M-006,P0,Концепция безопасности,"Концепция покрывает ворота, блокировки и HIL-проверку.",pass,"[""docs/SAFETY_CONCEPT.md""]",[],
M-007,P0,Протокол калибровки,"Документ покрывает артефакт, валидатор и реестр.",pass,"[""docs/CALIBRATION_PROTOCOL.md""]",[],
M-008,P1,Документация режимов отказа,Таблица отказов покрывает обнаружение и меры снижения.,pass,"[""docs/FAILURE_MODES.md""]",[],
M-009,P1,Шаблон отчёта статьи,"Шаблон покрывает источники, таблицы и воспроизводимость.",pass,"[""docs/ARTICLE_REPORT_TEMPLATE.md""]",[],
M-010,P1,Черновик руководства оператора,"Руководство покрывает режимы, сухой прогон, обратную связь и проверку.",pass,"[""docs/OPERATOR_MANUAL_DRAFT.md""]",[],
