item_id,priority,title,acceptance,status,evidence,missing_evidence,notes
B-006,P0,Реализовать image_manifest.csv generator,"Для каждого изображения есть hash, размер, group_id, session_id, tray_id.",pass,"[""seedling_data/manifests.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-007,P0,Реализовать group-aware split по group_id из metadata,Ни один group_id не попадает в разные split.,pass,"[""seedling_experiments/dataset.py"", ""tests/unit/test_dataset_split.py""]",[],
B-008,P0,Добавить near-duplicate check,Проверяются hash и perceptual hash между split.,pass,"[""seedling_data/duplicates.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-009,P1,Добавить cell_annotations.jsonl schema,Можно хранить состояние каждой ячейки независимо от YOLO labels.,pass,"[""seedling_data/annotations.py"", ""docs/ANNOTATION_GUIDE.md"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-010,P1,Добавить action_points.jsonl schema,"Можно хранить action point, uncertainty, forbidden zones.",pass,"[""seedling_data/annotations.py"", ""docs/ANNOTATION_GUIDE.md"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-011,P1,Реализовать audit cell annotations,"Проверяются row/col, state, object links, grid size.",pass,"[""seedling_data/annotations.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-012,P1,Реализовать audit action points,"Проверяются координаты, target types, safe distances, review flags.",pass,"[""seedling_data/annotations.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-013,P1,Создать dataset summary report,Генерируется Markdown/HTML с распределениями по split/classes/cells.,pass,"[""seedling_data/registry.py"", ""tests/unit/test_data_registry_annotations.py""]",[],
B-014,P2,Добавить changelog датасета,Каждая версия данных имеет журнал изменений.,pass,"[""seedling_data/changelog.py"", ""docs/DATASET_CHANGELOG_TEMPLATE.md"", ""tests/unit/test_data_registry_annotations.py""]",[],
C-001,P0,Создать DetectorAdapter interface,"Все детекторы имеют load, predict, metadata.",pass,"[""seedling_vision/adapters/base.py""]",[],
C-002,P0,Обернуть текущий Ultralytics YOLO в UltralyticsYOLODetector,Predict возвращает DetectionResultV1; unit-тест на mock image.,pass,"[""seedling_vision/adapters/ultralytics_yolo.py"", ""tests/unit/test_vision_tools.py""]",[],
C-003,P0,Обернуть baseline-green как detector adapter,"HSV baseline выдаёт тот же формат, что YOLO.",pass,"[""seedling_vision/adapters/baseline_green.py"", ""tests/unit/test_registry_selector_feedback.py""]",[],
C-004,P0,Создать RecordedPredictionDetector,Читает существующий predictions.json; нужен для тестов без GPU.,pass,"[""seedling_vision/adapters/recorded_prediction.py"", ""tests/unit/test_ontology_and_adapters.py""]",[],
C-005,P1,Добавить ONNX detector adapter,Экспортированная модель подключается без Ultralytics runtime.,pass,"[""seedling_vision/adapters/onnx.py"", ""tests/unit/test_vision_tools.py""]",[],
C-006,P1,Реализовать uncertainty estimator,"Минимум: confidence thresholds, bbox size flags, optional entropy.",pass,"[""seedling_vision/uncertainty.py"", ""tests/unit/test_vision_tools.py""]",[],
C-007,P1,Добавить postprocessing контейнеров как отдельный модуль,Evaluator может явно выбирать detections или containers.,pass,"[""seedling_vision/postprocess.py"", ""tests/unit/test_vision_tools.py""]",[],
C-008,P1,Добавить model metadata,"Сохраняются model_id, dataset_version, ontology_version, input/output schema.",pass,"[""seedling_core/registry.py"", ""configs/registry/model_registry_v0_1.yaml"", ""tests/unit/test_registry_selector_feedback.py""]",[],
C-009,P2,Добавить batch inference,Поддержка пакетной обработки изображений и прогресс-логов.,pass,"[""seedling_vision/batch.py"", ""seedling_vision/cli.py"", ""tests/unit/test_vision_tools.py""]",[],
C-010,P2,Добавить visual overlay report,"Bbox, сетка, targets, confidence, errors на изображениях.",pass,"[""seedling_vision/overlays.py"", ""tests/unit/test_vision_tools.py""]",[],
D-001,P0,Вынести grid assignment в seedling_cells.grid,"Unit-тесты для 11×11, границ, поворота, bbox.",pass,"[""seedling_cells/grid.py"", ""tests/unit/test_grid.py""]",[],
D-002,P0,Поддержать homography-based grid,"Можно строить сетку по четырём углам, не только bbox.",pass,"[""seedling_cells/cell_state.py"", ""tests/unit/test_grid.py""]",[],
D-003,P0,Реализовать CellStateBuilder,"На вход detections + tray geometry, на выход список CellState.",pass,"[""seedling_cells/cell_state.py"", ""tests/unit/test_target_generation.py""]",[],
D-004,P0,Реализовать target generation module,"Largest-bbox baseline вынесен как стратегия, не захардкожен.",pass,"[""seedling_cells/target_generation.py"", ""tests/unit/test_target_generation.py""]",[],
D-005,P0,Переписать evaluate-cells на новые схемы,Метрики совпадают с legacy на тестовых фикстурах.,pass,"[""seedling_experiments/evaluate.py"", ""tests/unit/test_evaluate_cells_metrics.py""]",[],
D-006,P0,Добавить диагностику container matching,"IoU summary, best_iou_counts, unmatched samples.",pass,"[""seedling_experiments/evaluate.py"", ""seedling_vision/postprocess.py"", ""tests/unit/test_evaluate_cells_metrics.py""]",[],
D-007,P0,Добавить target error в px и mm,mm считается при наличии calibration.,pass,"[""seedling_experiments/evaluate.py"", ""tests/unit/test_evaluate_cells_metrics.py""]",[],
D-008,P1,Добавить поддержку richer cell states,"weed_only, crop_and_weed, unknown, ambiguous.",pass,"[""seedling_cells/evaluation.py"", ""tests/unit/test_scene_state_evaluation.py""]",[],
D-009,P1,Добавить экспертный keep/remove evaluator,Сравнение largest-bbox с expert action labels.,pass,"[""seedling_cells/evaluation.py"", ""tests/unit/test_scene_state_evaluation.py""]",[],
D-010,P1,Добавить cost-sensitive metrics,Критические ошибки получают отдельные показатели.,pass,"[""seedling_cells/evaluation.py"", ""seedling_reports/diagnostics.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
D-011,P2,Добавить bootstrap по кассетам/group_id,"CI не должен считать ячейки независимыми, если есть group_id.",pass,"[""seedling_reports/diagnostics.py"", ""tests/unit/test_evaluate_cells_metrics.py""]",[],
D-012,P2,Добавить error taxonomy report,Ошибки классифицируются по изображению/геометрии/биологии/решению.,pass,"[""seedling_reports/diagnostics.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
E-001,P0,Создать CalibrationConfig и CalibrationArtifact schemas,"JSON содержит homography, transforms, px/mm, error summary.",pass,"[""seedling_calibration/schemas.py""]",[],
E-002,P0,Реализовать image_px → tray_mm transform,Unit-тест на контрольных точках.,pass,"[""seedling_calibration/transforms.py"", ""tests/unit/test_calibration.py""]",[],
E-003,P0,Реализовать tray_mm → robot_frame_mm transform,Поддержка tool offset.,pass,"[""seedling_calibration/transforms.py"", ""tests/unit/test_calibration.py""]",[],
E-004,P0,Добавить calibration validator,"Проверяет срок действия, RMS/P95 errors, matching tray type.",pass,"[""seedling_calibration/validator.py"", ""tests/unit/test_calibration.py""]",[],
E-005,P1,Добавить error map generation,Отчёт heatmap ошибок по рабочему полю.,pass,"[""seedling_calibration/estimation.py"", ""docs/CALIBRATION_PROTOCOL.md"", ""tests/unit/test_calibration.py""]",[],
E-006,P1,Добавить coordinate conversion в targets,ActionTarget получает px/mm/robot coords.,pass,"[""seedling_calibration/transforms.py"", ""tests/unit/test_calibration.py""]",[],
E-007,P1,Добавить CLI calibration estimate/validate/error-map,Команды создают артефакты и отчёты.,pass,"[""seedling_calibration/cli.py"", ""tests/unit/test_calibration.py""]",[],
E-008,P2,Добавить калибровку камеры intrinsics,Поддержка шахматной доски/aruco/fiducials.,pass,"[""seedling_calibration/intrinsics.py"", ""tests/unit/test_calibration.py""]",[],
F-001,P0,Создать DecisionPolicy interface,Политики совместимы с SceneState и ActionPlan.,pass,"[""seedling_decision/policies/base.py""]",[],
F-002,P0,Реализовать NoOpPolicy,Все цели отправляются на review.,pass,"[""seedling_decision/policies/builtin.py""]",[],
F-003,P0,Реализовать RasterScanPolicy,"Обход по row/col, только safe targets.",pass,"[""seedling_decision/policies/builtin.py""]",[],
F-004,P0,Реализовать NearestNeighborPolicy,Минимизирует расстояние от текущей позиции.,pass,"[""seedling_decision/policies/builtin.py""]",[],
F-005,P0,Реализовать RiskAwareRulePolicy,"Фильтры confidence, distance, uncertainty, calibration, unknown.",pass,"[""seedling_decision/policies/builtin.py""]",[],
F-006,P0,Реализовать ActionMaskBuilder,Маскирует unsafe/invalid/processed actions.,pass,"[""seedling_decision/action_masks.py"", ""tests/unit/test_decision_and_safety.py""]",[],
F-007,P0,Реализовать SafetyGate,Нельзя исполнить action без safety decision.,pass,"[""seedling_decision/safety_gate.py"", ""seedling_robot/adapters/dry_run_serial.py"", ""tests/unit/test_decision_and_safety.py"", ""tests/unit/test_dry_run_and_feedback.py""]",[],
F-008,P0,Добавить forbidden zones,Risk rules учитывают зоны вокруг keep seedlings и за пределами кассеты.,pass,"[""seedling_decision/action_masks.py"", ""seedling_decision/policies/builtin.py"", ""seedling_decision/safety_gate.py"", ""tests/unit/test_decision_and_safety.py""]",[],
F-009,P1,Реализовать HumanReviewPolicy,UI/runtime получает список целей с причинами review.,pass,"[""seedling_decision/policies/builtin.py""]",[],
F-010,P1,Добавить policy comparison metrics,Policies сравниваются на одном наборе сцен.,pass,"[""seedling_reports/scenario.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
F-011,P2,Добавить route planning TSP-like baseline,Используется как сильный нерейтинговый baseline для RL.,pass,"[""seedling_decision/policies/builtin.py""]",[],
G-001,P0,Создать SimScene schema,Сцены сериализуются JSON; есть валидатор.,pass,"[""seedling_sim/schemas.py"", ""tests/unit/test_simulation.py""]",[],
G-002,P0,Реализовать logical tray simulator,"Сцена 11×11, растения, targets, robot state, step outcome.",pass,"[""seedling_sim/logical_tray.py"", ""tests/unit/test_simulation.py""]",[],
G-003,P0,Реализовать detection noise model,"Параметры пропусков, false positives, bbox noise, class noise.",pass,"[""seedling_sim/detection_noise.py"", ""tests/unit/test_simulation.py""]",[],
G-004,P0,Реализовать actuator error model,"Механическая ошибка, latency, drift, zone error.",pass,"[""seedling_sim/actuator_model.py"", ""tests/unit/test_simulation.py""]",[],
G-005,P0,Реализовать plant response model stub,Вероятностный success/damage без реальных laser параметров.,pass,"[""seedling_sim/plant_response_model.py"", ""tests/unit/test_simulation.py""]",[],
G-006,P0,Реализовать scene generator,Генерирует сцены с empty/single/multiple/weed/unknown.,pass,"[""seedling_sim/scene_generator.py"", ""tests/unit/test_simulation.py""]",[],
G-007,P1,Реализовать image-backed scenes,Сцены строятся из реального изображения + predictions/annotations.,pass,"[""seedling_sim/image_backed.py"", ""tests/unit/test_simulation.py""]",[],
G-008,P1,Реализовать replay logger,Каждый шаг эпизода сохраняет obs/action/reward/info.,pass,"[""seedling_sim/replay.py"", ""tests/unit/test_robot_and_replay.py""]",[],
G-009,P1,Реализовать static renderer,"PNG/HTML overlay: grid, plants, targets, robot path.",pass,"[""seedling_sim/renderers.py"", ""tests/unit/test_simulation.py"", ""tests/unit/test_rl_env.py""]",[],
G-010,P1,Реализовать policy replay viewer,Можно пошагово смотреть действия агента.,pass,"[""seedling_ui/replay_viewer.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
G-011,P2,Добавить synthetic image renderer,Простая 2D-генерация изображений для визуализации.,pass,"[""seedling_sim/renderers.py"", ""tests/unit/test_simulation.py""]",[],
G-012,P2,Добавить domain randomization presets,Lighting/focus/wet substrate/noise/calibration drift.,pass,"[""seedling_sim/domain_randomization.py"", ""tests/unit/test_simulation.py""]",[],
H-001,P0,Создать SeedlingTrayEnv Gymnasium-compatible,reset/step/render; проходит env checker.,pass,"[""seedling_rl/envs.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-002,P0,Определить observation/action spaces,Structured observation + action mask.,pass,"[""seedling_rl/envs.py"", ""tests/unit/test_rl_env.py""]",[],
H-003,P0,Реализовать reward module,Конфигурируемые веса reward/penalty.,pass,"[""seedling_rl/reward.py"", ""tests/unit/test_rl_env.py""]",[],
H-004,P0,Реализовать baseline policy evaluation в env,NoOp/Raster/Nearest/RuleBased оцениваются как политики.,pass,"[""seedling_rl/baseline_eval.py"", ""tests/unit/test_rl_env.py""]",[],
H-005,P0,Реализовать seedling_rl train,PPO/MaskablePPO запуск по YAML.,pass,"[""seedling_rl/training.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-006,P0,Реализовать seedling_rl evaluate,"Сохраняет metrics, videos/replays, critical errors.",pass,"[""seedling_rl/training.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-007,P0,Реализовать RLPolicyAdapter,Обученный агент подключается как DecisionPolicy.,pass,"[""seedling_rl/policy_adapter.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-008,P1,Добавить TensorBoard/logging callbacks,"reward, critical_error, review_rate, distance.",pass,"[""seedling_rl/callbacks.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-009,P1,Добавить vectorized env training,Параллельная генерация сцен.,pass,"[""seedling_rl/vectorized_env.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-010,P1,Добавить curriculum,"Сначала простые сцены, потом mixed/uncertain.",pass,"[""seedling_rl/curriculum.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-011,P1,Добавить recurrent policy option,Для частичной наблюдаемости и delayed verification.,pass,"[""seedling_rl/policy_adapter.py"", ""configs/rl/recurrent_ppo_v0.yaml"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-012,P2,Добавить offline replay evaluation,Агент прогоняется по логам без влияния на физику.,pass,"[""seedling_rl/offline_replay.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
H-013,P2,Добавить hyperparameter sweep,"Несколько seeds и configs, отчёт по stability.",pass,"[""seedling_rl/sweep.py"", ""tests/unit/test_rl_training_and_compare.py""]",[],
I-001,P0,Создать RobotAdapter interface,Simulator/DryRun/Real имеют общий API.,pass,"[""seedling_robot/adapters/base.py"", ""docs/ROBOT_PROTOCOL.md""]",[],
I-002,P0,Реализовать SimulatorRobotAdapter,"Выполняет move/mark в симуляторе, пишет telemetry.",pass,"[""seedling_robot/adapters/simulator.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-003,P0,Реализовать motion command schema,"Команда содержит point, speed, mode, safety token.",pass,"[""seedling_robot/protocol.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-004,P0,Реализовать dry-run serial adapter stub,Безопасный режим без опасного воздействия.,pass,"[""seedling_robot/adapters/dry_run_serial.py"", ""tests/unit/test_dry_run_and_feedback.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-005,P0,Добавить homing/limit switch state в telemetry,SafetyGate видит robot_homed и limit status.,pass,"[""seedling_robot/protocol.py"", ""seedling_decision/safety_gate.py"", ""seedling_robot/adapters/dry_run_serial.py"", ""tests/unit/test_decision_and_safety.py"", ""tests/unit/test_dry_run_and_feedback.py""]",[],
I-006,P1,Описать serial protocol в docs/ROBOT_PROTOCOL.md,Команды/ответы/ошибки/таймауты документированы.,pass,"[""docs/ROBOT_PROTOCOL.md""]",[],
I-007,P1,Добавить motion replay,Команды можно проигрывать в симуляторе.,pass,"[""seedling_robot/motion_replay.py"", ""tests/unit/test_dry_run_and_feedback.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-008,P1,Добавить gantry dry-run test CLI,Наведение на контрольные точки и отчёт ошибки.,pass,"[""seedling_robot/dry_run_runner.py"", ""seedling_robot/cli.py"", ""tests/unit/test_robot_and_replay.py""]",[],
I-009,P2,Добавить hardware-in-the-loop mode,"Реальная рама, безопасный указатель, лог ошибок.",external_required,"[""seedling_robot/hil_runner.py"", ""seedling_robot/adapters/real_gantry_serial.py"", ""docs/ROBOT_PROTOCOL.md""]",[],Software scaffold exists if evidence is present; real hardware validation remains external.
J-001,P0,Создать offline viewer,"Загружает изображение, predictions, cell state, targets.",pass,"[""seedling_ui/offline_viewer.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
J-002,P0,Создать simulation replay viewer,"Play/pause/step/reset, timeline actions.",pass,"[""seedling_ui/replay_viewer.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
J-003,P0,Показывать reasons for review/block,"Оператор видит, почему цель заблокирована.",pass,"[""seedling_ui/offline_viewer.py"", ""seedling_decision/policies/builtin.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
J-004,P1,Добавить model/policy selector,Можно выбрать detector и policy из registry.,pass,"[""seedling_ui/cli.py"", ""seedling_core/registry.py"", ""tests/unit/test_registry_selector_feedback.py""]",[],
J-005,P1,Добавить scenario comparison,На одной сцене сравниваются rule-based и RL.,pass,"[""seedling_reports/scenario.py""]",[],
J-006,P1,Добавить report export,HTML/Markdown отчёт по кассете/эпизоду.,pass,"[""seedling_ui/report_export.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
J-007,P2,Добавить annotation feedback mode,Оператор может пометить ошибку модели для доразметки.,pass,"[""seedling_ui/feedback.py"", ""seedling_ui/offline_viewer.py"", ""tests/unit/test_registry_selector_feedback.py""]",[],
K-001,P0,Создать unified experiment CLI,prepare/train/val/predict/evaluate/sim/rl имеют единый стиль.,pass,"[""seedling_experiments/cli.py"", ""tests/unit/test_cli_smoke.py""]",[],
K-002,P0,Реализовать experiment registry,Каждая команда регистрирует входы/выходы.,pass,"[""seedling_experiments/cli.py"", ""seedling_experiments/config.py"", ""seedling_reports/registry.py"", ""tests/unit/test_cli_smoke.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-003,P0,Автоматически собирать dataset_summary.csv,Таблица для статьи строится из артефактов.,pass,"[""seedling_reports/tables.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-004,P0,Автоматически собирать object_level_results.csv,Источник: test_metrics.json.,pass,"[""seedling_reports/tables.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-005,P0,Автоматически собирать task_level_results.csv,Источник: cell_metrics.json.,pass,"[""seedling_reports/tables.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-006,P1,Добавить artifact_registry.csv,Для статьи и воспроизводимости.,pass,"[""seedling_reports/registry.py"", ""seedling_reports/tables.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-007,P1,Добавить HTML report generator,Единый отчёт эксперимента с картинками/таблицами.,pass,"[""seedling_reports/html.py"", ""seedling_reports/cli.py"", ""tests/unit/test_reports_and_viewers.py""]",[],
K-008,P2,Добавить compare-runs,"Сравнение моделей, thresholds, RL seeds.",pass,"[""seedling_reports/compare.py""]",[],
L-001,P0,Unit tests for schemas,Все схемы проходят serialization round-trip.,pass,"[""tests/unit/test_schemas.py""]",[],
L-002,P0,Unit tests for grid assignment,"Границы, углы, centers, invalid cells.",pass,"[""tests/unit/test_grid.py""]",[],
L-003,P0,Unit tests for target generation,"Largest-bbox, expert labels, unknown/review.",pass,"[""tests/unit/test_target_generation.py""]",[],
L-004,P0,Unit tests for SafetyGate,Каждое unsafe condition блокирует action.,pass,"[""tests/unit/test_decision_and_safety.py""]",[],
L-005,P0,Unit tests for calibration transforms,Known points map correctly.,pass,"[""tests/unit/test_calibration.py""]",[],
L-006,P0,Integration test: image → prediction → cells,"Mock detector, small fixture dataset.",pass,"[""tests/integration/test_scene_policy_sim.py""]",[],
L-007,P0,Integration test: scene → policy → sim episode,Rule-based policy completes fixture scene.,pass,"[""tests/integration/test_scene_policy_sim.py""]",[],
L-008,P0,Gym env checker test,SeedlingTrayEnv проходит проверку API.,pass,"[""tests/unit/test_rl_training_and_compare.py""]",[],
L-009,P1,Regression tests for legacy outputs,Новые метрики совпадают с legacy на фикстурах.,pass,"[""tests/unit/test_evaluate_cells_metrics.py""]",[],
L-010,P1,CLI smoke tests,Каждая команда запускается на tiny dataset.,pass,"[""tests/unit/test_cli_smoke.py""]",[],
L-011,P2,Performance tests,Batch inference and sim training не деградируют.,pass,"[""tests/performance/test_performance_smoke.py""]",[],
M-001,P0,Обновить docs/README.md,Карта новых модулей и команд.,pass,"[""docs/README.md""]",[],
M-002,P0,Создать docs/ARCHITECTURE.md,"Диаграммы, слои, схемы данных, режимы работы.",pass,"[""docs/ARCHITECTURE.md""]",[],
M-003,P0,Создать docs/RL_SPEC.md,"Env, obs, actions, rewards, metrics, limitations.",pass,"[""docs/RL_SPEC.md""]",[],
M-004,P0,Создать docs/SIMULATION_SPEC.md,"Scene schema, noise model, renderer, replay.",pass,"[""docs/SIMULATION_SPEC.md""]",[],
M-005,P0,Создать docs/MODEL_PLUGIN_API.md,Detector/Policy/Robot adapters.,pass,"[""docs/MODEL_PLUGIN_API.md""]",[],
M-006,P0,Создать docs/SAFETY_CONCEPT.md,"SafetyGate, modes, blocked actions, interlocks.",pass,"[""docs/SAFETY_CONCEPT.md""]",[],
M-007,P1,Создать docs/CALIBRATION_PROTOCOL.md,Калибровка и error budget.,pass,"[""docs/CALIBRATION_PROTOCOL.md""]",[],
M-008,P1,Создать docs/FAILURE_MODES.md,Таксономия отказов и меры снижения.,pass,"[""docs/FAILURE_MODES.md""]",[],
M-009,P1,Создать статью-ready report template,Автоматические таблицы и source artifacts.,pass,"[""docs/ARTICLE_REPORT_TEMPLATE.md""]",[],
M-010,P2,Создать operator manual draft,Режимы scan/review/sim/dry-run/safe stop.,pass,"[""docs/OPERATOR_MANUAL_DRAFT.md""]",[],
